acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.995,['Carl Woitschach'],0.708,158648,0.195,0,6KbQ3uYMLKb5jDxLF7wYDD,0.563,10,0.151,-12.428,1,Singende Bataillone 1. Teil,0,1928,0.0506,118.469,0.779,1928
0.994,"['Robert Schumann', 'Vladimir Horowitz']",0.379,282133,0.0135,0,6KuQTIu1KoTTkLXKrwlLPV,0.901,8,0.0763,-28.454,1,"Fantasiestücke, Op. 111: Più tosto lento",0,1928,0.0462,83.97200000000002,0.0767,1928
0.604,['Seweryn Goszczyński'],0.7490000000000001,104300,0.22,0,6L63VW0PibdM1HDSBoqnoM,0.0,5,0.119,-19.924,0,Chapter 1.18 - Zamek kaniowski,0,1928,0.929,107.177,0.88,1928
0.995,['Francisco Canaro'],0.7809999999999999,180760,0.13,0,6M94FkXd15sOAOQYRnWPN8,0.887,1,0.111,-14.734000000000002,0,Bebamos Juntos - Instrumental (Remasterizado),0,1928-09-25,0.0926,108.003,0.72,1928
0.99,"['Frédéric Chopin', 'Vladimir Horowitz']",0.21,687733,0.204,0,6N6tiFZ9vLTSOIxkj8qKrd,0.908,11,0.098,-16.829,1,"Polonaise-Fantaisie in A-Flat Major, Op. 61",1,1928,0.0424,62.149,0.0693,1928
0.995,"['Felix Mendelssohn', 'Vladimir Horowitz']",0.424,352600,0.12,0,6NxAf7M8DNHOBTmEd3JSO5,0.911,6,0.0915,-19.242,0,Scherzo a capriccio: Presto,0,1928,0.0593,63.521,0.266,1928
0.956,"['Franz Liszt', 'Vladimir Horowitz']",0.444,136627,0.197,0,6O0puPuyrxPjDTHDUgsWI7,0.435,11,0.0744,-17.226,1,"Valse oubliée No. 1 in F-Sharp Major, S. 215/1",0,1928,0.04,80.495,0.305,1928
0.988,['Carl Woitschach'],0.555,153967,0.421,0,6OJjveoYwJdIt76y0Pxpxw,0.836,1,0.105,-9.878,1,Per aspera ad astra,0,1928,0.0474,123.31,0.857,1928
0.995,"['Francisco Canaro', 'Charlo']",0.6829999999999999,162493,0.207,0,6OaJ8Bh7lsBeYoBmwmo2nh,0.206,9,0.337,-9.801,0,Moneda Corriente - Remasterizado,0,1928-10-03,0.127,119.833,0.493,1928
0.846,['Seweryn Goszczyński'],0.674,111600,0.205,0,6PrZexNb16cabXR8Q418Xc,0.0,9,0.17,-20.119,1,Chapter 1.3 - Zamek kaniowski,0,1928,0.954,81.249,0.759,1928
0.994,"['Sergei Rachmaninoff', 'Vladimir Horowitz']",0.376,590293,0.0719,0,6QBInZBkQNIQYU9gGzT5l4,0.883,10,0.196,-21.849,0,"Piano Sonata No. 2 in B-Flat Minor, Op. 36: I. Allegro agitato - Meno mosso",0,1928,0.0352,141.39,0.0393,1928
0.989,"['Frédéric Chopin', 'Vladimir Horowitz']",0.17,85133,0.0823,0,6QIONtzbQCbnmWNwn0H1yT,0.911,10,0.0962,-30.107,0,"Piano Sonata No. 2, Op. 35: IV. Finale. Presto",1,1928,0.0317,85.98899999999998,0.34600000000000003,1928
0.99,"['Samuel Barber', 'Vladimir Horowitz']",0.359,338333,0.0435,0,6QgdUySTRGVkNo3KwbHpK3,0.899,7,0.109,-20.858,1,"Piano Sonata in E-Flat Minor, Op. 26: III. Adagio mesto",0,1928,0.0424,96.645,0.042,1928
0.992,"['Robert Schumann', 'Vladimir Horowitz']",0.311,167333,0.0107,0,6RvSNoCPBZeTR2LyGvdJOw,0.883,5,0.0954,-35.648,1,"Nachtstücke, Op. 23: No. 4 in F",0,1928,0.0556,78.98,0.21600000000000005,1928
0.977,"['Ludwig van Beethoven', 'Staatskapelle Berlin', 'Richard Strauss']",0.335,276563,0.105,0,6Rwn56jcC0TdGQzbRl7NGw,0.84,5,0.231,-16.049,0,"Symphony No. 5 in C Minor, Op. 67: 3. Allegro",0,1928-01-01,0.0716,80.204,0.406,1928
0.991,"['George Butterworth', 'John Cameron']",0.319,184840,0.00593,0,6Sdpmree8xpGWaedACPMlP,6.35e-05,7,0.0691,-25.789,0,A Shropshire Lad: Is My Team Ploughing?,0,1928,0.051,79.831,0.16899999999999998,1928
0.996,"['Alexander Scriabin', 'Vladimir Horowitz']",0.319,326067,0.155,0,6T0mZB7p3qzOifdXZ3Su9P,0.917,4,0.126,-18.728,1,"Sonata No. 3, Op. 23 in F-Sharp Minor: IV. Presto con fuoco; Meno mosso",0,1928,0.036000000000000004,66.947,0.0488,1928
0.994,"['Francisco Canaro', 'Luis Scalon']",0.787,167107,0.156,0,6TFuAErGpJ9FpxQQ1HC8nM,0.659,4,0.11,-14.056,0,Invocación al Tango - Remasterizado,0,1928-09-16,0.157,117.167,0.8490000000000001,1928
0.993,"['Thomas Arne', 'John Heddle Nash']",0.569,122533,0.15,0,6UUfiNT82MWBNnmsE2ZNWf,0.0015,5,0.106,-15.238,1,Where the Bee Sucks,0,1928,0.0474,76.93,0.596,1928
0.992,['Francisco Canaro'],0.763,173707,0.132,0,6Ukl7n0q3Cjd0Og8uBmVeP,0.0693,4,0.112,-13.002,1,Tendrás Que Llorar Conmigo - Instrumental (Remasterizado),0,1928-09-17,0.0886,111.679,0.8320000000000001,1928
0.993,"['Moritz Moszkowski', 'Vladimir Horowitz']",0.35200000000000004,80800,0.132,0,6UxGTlqovmrBV4SKAsoz0A,0.966,8,0.425,-23.202,1,"Etude in A-Flat, Op. 72, No. 11",0,1928,0.0381,74.737,0.6609999999999999,1928
0.99,['Francisco Canaro'],0.833,176000,0.132,0,6VGWQU6XIXshFT288CoLrk,0.0005679999999999999,1,0.0957,-11.130999999999998,1,Quisiste Cachar un Gil - Instrumental (Remasterizado),0,1928-09-20,0.295,121.779,0.568,1928
0.975,"['Frédéric Chopin', 'Vladimir Horowitz']",0.277,245440,0.09,0,6VUm7Dg5sufmG01IYcoJE3,0.949,7,0.125,-26.188,1,"Andante spianato in E-Flat Major, Op. 22",0,1928,0.0316,105.031,0.168,1928
0.99,['Francisco Canaro'],0.8109999999999999,169720,0.175,0,6VqUdRHLlFMXmN4plGWSMA,0.841,9,0.13,-13.639,1,La Recova - Instrumental (Remasterizado),0,1928-09-16,0.0712,115.212,0.933,1928
0.988,"['Francisco Canaro', 'Charlo']",0.6990000000000001,166000,0.221,0,6W7iUeL4W0WVIF1BEOCswF,0.0725,11,0.142,-12.228,1,El Espejito - Remasterizado,0,1928-09-20,0.115,117.899,0.782,1928
0.988,"['Roger Quilter', 'John Heddle Nash']",0.54,152600,0.102,0,6WBXyRc3ynwvRHiBWudVLo,2.13e-06,4,0.0819,-18.555,1,It Was a Lover and His Lass,0,1928,0.0792,73.516,0.433,1928
0.99,['Hafız Yaşar'],0.569,162197,0.327,0,6WFYaPHg3P8jQuh7x9YKYZ,0.947,7,0.134,-13.622,1,Kız Saçların,0,1928-05-07,0.0499,82.742,0.562,1928
0.991,"['Frédéric Chopin', 'Vladimir Horowitz']",0.38,505920,0.119,0,6WRmg6x1bYjHxzeMCfKguB,0.89,11,0.0601,-21.255,1,"Scherzo No. 1 in B Minor, Op. 20",0,1928,0.0389,132.005,0.18,1928
0.993,"['Muzio Clementi', 'Vladimir Horowitz']",0.28,251960,0.0436,0,6WSYfri77xoUvXLg3WTdLF,0.885,8,0.0865,-25.958,1,"Sonata, Op. 14, No. 3 in F Minor: I. Allegro agitato",0,1928,0.0393,81.07600000000002,0.182,1928
0.6859999999999999,['Seweryn Goszczyński'],0.715,102200,0.22,0,6XD6qJykJ91uC9AYb84ZeY,0.0,2,0.206,-19.788,1,Chapter 4.12 - Zamek kaniowski,0,1928,0.948,113.214,0.545,1928
0.995,"['Francisco Canaro', 'Charlo']",0.767,177507,0.23,0,6XbXjlJZxRZslzXDh115DL,0.605,2,0.133,-10.728,1,Venite Conmigo - Remasterizado,0,1928-09-25,0.199,119.985,0.868,1928
0.995,['Ignacio Corsini'],0.531,159107,0.124,0,6XoyWGdCJwFaJV1Pnmphwr,0.0168,2,0.118,-23.243,1,Por una Mujer - Remasterizado,0,1928-05-14,0.0711,101.902,0.555,1928
0.422,['Shungi Music Crew'],0.662,372962,0.606,0,6XxKNIhZQsW1A5Sg6O32Is,0.915,7,0.0594,-7.026,0,Loving You,0,1928-08-20,0.0376,111.999,0.645,1928
0.987,"['George Butterworth', 'John Cameron']",0.238,173293,0.0324,0,6Z6DJ8L7WMy2WHbXe3jR9I,0.000986,7,0.112,-24.361,0,A Shropshire Lad: Oh Fair Enough are Sky and Plain,0,1928,0.0541,172.321,0.0379,1928
0.983,['Ignacio Corsini'],0.6679999999999999,151840,0.261,0,6ZSXaYQBOPDDmKeqaOfBa2,0.0232,7,0.122,-16.91,0,Abuelita - Remasterizado,0,1928-05-14,0.101,120.553,0.7020000000000001,1928
0.989,['Perchicot'],0.769,140267,0.442,0,6ZWi1fuonJCUlt4p6o9Uzs,1.27e-06,2,0.16699999999999998,-12.697,0,La Noce À Rebecca,0,1928,0.273,132.125,0.934,1928
0.994,"['Francisco Canaro', 'Charlo']",0.8009999999999999,166493,0.113,0,6aBzlB3FTioN5vCTfdswr8,0.206,4,0.129,-12.147,1,Por Esta Cruz - Remasterizado,0,1928-09-20,0.0837,117.063,0.672,1928
0.994,['Francisco Canaro'],0.8540000000000001,200213,0.151,0,6aNewFey3lEHDerGgy3rYN,0.371,4,0.159,-11.163,0,Che Bouhier - Instrumental (Remasterizado),0,1928-09-16,0.13699999999999998,110.331,0.7809999999999999,1928
0.708,['Seweryn Goszczyński'],0.677,95900,0.204,0,6aXTusFB0Ycjmt9TXr2cfK,0.0,1,0.104,-20.024,0,Chapter 4.10 - Zamek kaniowski,0,1928,0.957,84.82600000000002,0.667,1928
0.777,['Seweryn Goszczyński'],0.738,139100,0.282,0,6bKJYhoaWIohnhspidbdW7,0.0,1,0.29,-16.555999999999994,1,Chapter 2.11 - Zamek kaniowski,0,1928,0.952,140.612,0.703,1928
0.977,"['Frédéric Chopin', 'Vladimir Horowitz']",0.305,215267,0.083,0,6duqhjENDYbR2Q4Hpogh9M,0.6970000000000001,6,0.231,-20.895,1,"Nocturne in F-Sharp Major, Op. 15, No. 2",1,1928,0.0331,80.622,0.0479,1928
0.993,"['Dmitry Kabalevsky', 'Vladimir Horowitz']",0.3720000000000001,285133,0.0945,0,6h6ShFPagQGy48KSFd8BU9,0.941,10,0.189,-22.709,0,"Sonata No. 3, Op. 46: II. Andante cantabile",0,1928,0.0317,59.217,0.0791,1928
0.99,"['Frédéric Chopin', 'Vladimir Horowitz']",0.337,333907,0.0699,0,6hUMURfCaJ6JB8EWL1ZLr7,0.903,5,0.106,-23.806,0,"Nocturne F Minor, Op. 55, No. 1",2,1928,0.0322,72.133,0.135,1928
0.995,['Francisco Canaro'],0.7290000000000001,174720,0.191,0,6hcPbniXegOud4FNv8Efxz,0.455,4,0.103,-15.313,0,Timbero - Instrumental (Remasterizado),0,1928-09-17,0.108,112.565,0.902,1928
0.826,['Seweryn Goszczyński'],0.726,108800,0.249,0,6i3IWozMMPQXtD5W1klS0n,0.0,9,0.173,-16.82,0,Chapter 3.4 - Zamek kaniowski,0,1928,0.952,112.379,0.5589999999999999,1928
0.662,['Seweryn Goszczyński'],0.631,109900,0.23,0,6i7kom9nwTggWaYQAW9puH,0.0,1,0.145,-19.213,0,Chapter 1.13 - Zamek kaniowski,0,1928,0.959,83.40100000000002,0.595,1928
0.985,['Francisco Canaro'],0.81,169160,0.3,0,6iInEwECoC9ZX8uPDRjyft,0.0008849999999999998,4,0.13,-9.702,1,Mariposa de Cabaret - Instrumental (Remasterizado),0,1928-09-25,0.289,115.648,0.8059999999999999,1928
0.985,"['Frédéric Chopin', 'Vladimir Horowitz']",0.355,138013,0.0452,0,6j8nMxm9yFxN3Mdodm9tEl,0.825,1,0.153,-24.125,1,"Mazurka in F Minor, Op. 7, No. 3",2,1928,0.0329,84.551,0.276,1928
0.461,['Shungi Music Crew'],0.733,369721,0.613,0,6jIUK38SalSc8jYFLW4FYv,0.951,7,0.122,-8.749,1,Rumours,0,1928-08-20,0.0383,123.019,0.26,1928
0.993,"['Franz Liszt', 'Vladimir Horowitz']",0.303,491333,0.226,0,6jm4s7lONpJRXumjV6WH23,0.826,3,0.119,-21.483,1,"Danse macabre, S. 555 (after Camille Saint-Saens)",0,1928,0.0444,67.013,0.146,1928
0.995,"['Robert Schumann', 'Vladimir Horowitz']",0.319,118093,0.00217,0,6jpxi5YTFfquMKm7HLS0fW,0.937,10,0.0791,-36.905,1,"Humoreske, Op. 20: Einfach",0,1928,0.0412,78.505,0.229,1928
0.992,"['Robert Schumann', 'Vladimir Horowitz']",0.468,158973,0.0184,0,6k3zky8VRvpPo9T5dqWbKS,0.912,10,0.103,-27.785,1,"Humoreske, Op. 20: Innig",0,1928,0.0447,59.38,0.235,1928
0.992,['Ignacio Corsini'],0.698,168400,0.192,0,6k6oWqs8cZnnjY38LdP08T,0.00577,2,0.243,-17.343,1,La Carreta - Remasterizado,0,1928-05-14,0.128,78.218,0.6809999999999999,1928
0.993,"['Francisco Canaro', 'Charlo']",0.836,194000,0.207,0,6kfj3G8mZQH4n530vJen6L,0.522,7,0.321,-9.54,1,"Dentra, No Llores - Remasterizado",0,1928-10-03,0.152,112.369,0.595,1928
0.992,"['Frédéric Chopin', 'Vladimir Horowitz']",0.233,519933,0.113,0,6l4zbFqen97rgCxmq9LWgK,0.879,1,0.161,-18.276,1,"Barcarolle, Op. 60",0,1928,0.0397,64.082,0.0642,1928
0.993,['Paul Whiteman'],0.6409999999999999,161587,0.192,0,6m2U5lsHxlDvCUl6aZzCLO,0.5,3,0.593,-15.905,1,I'd Rather Cry Over You,0,1928,0.04,106.052,0.7040000000000001,1928
0.995,"['Francisco Canaro', 'Charlo']",0.461,204867,0.195,0,6mUmlFMnIKz3m8rIDnzwd0,0.8859999999999999,10,0.0969,-15.059,1,En un Pueblito de España - Remasterizado,0,1928-09-21,0.0609,76.419,0.8440000000000001,1928
0.989,"['Muzio Clementi', 'Vladimir Horowitz']",0.222,351000,0.0113,0,6mUr9qArNrSpsXeWIL2Go0,0.954,5,0.0873,-33.218,1,"Sonata quasi Concerto, Op. 33, No. 3 in C: II. Adagio e cantabile, con espressione",0,1928,0.043,74.04,0.0917,1928
0.991,['Ignacio Corsini'],0.431,108573,0.315,0,6mlX2fWNqtclyBUAyBHNQ5,0.883,11,0.108,-21.753,0,Caido del Cielo - Remasterizado,0,1928-05-14,0.0464,65.735,0.711,1928
0.991,['Ted Weems & His Orchestra'],0.8390000000000001,162147,0.37,0,6myKdOFzdAkk3npbTVrzFg,0.0419,2,0.104,-11.602,1,"Chick, Chick, Chick, Chick, Chicken - Lay A Little Egg For Me",1,1928-07-01,0.08,115.063,0.976,1928
0.991,"['Francisco Canaro', 'Charlo']",0.8290000000000001,175493,0.199,0,6nRuUkty1Wsn3rPZgfpZ9F,6.54e-06,10,0.119,-9.2,0,Triste Paica - Remasterizado,0,1928-09-20,0.0619,116.214,0.6809999999999999,1928
0.99,['Ignacio Corsini'],0.7090000000000001,130813,0.14800000000000002,0,6nxEIdbSzOtdi93IskacDT,0.0262,3,0.131,-18.933,0,Piedad - Remasterizado,0,1928-05-14,0.0775,122.415,0.516,1928
0.872,['Taj Mahal'],0.5710000000000001,155893,0.204,0,6oZyWbbisoG8jOunmpPH40,0.779,6,0.197,-18.61,1,Country Blues #1,0,1928,0.0328,129.289,0.0932,1928
0.991,['Francisco Canaro'],0.8079999999999999,194413,0.215,0,6p5vkrnb0SdBxqHXNPn8Zs,0.524,9,0.0906,-12.205,1,La Cabeza del Italiano - Instrumental (Remasterizado),0,1928-09-17,0.0851,110.894,0.866,1928
0.989,"['Robert Schumann', 'Vladimir Horowitz']",0.368,163800,0.124,0,6p8Q6LG6m1kxAzTbUyIWN3,0.892,0,0.105,-21.742,0,"Humoreske, Op. 20: Intermezzo",0,1928,0.0371,128.418,0.266,1928
0.732,['Seweryn Goszczyński'],0.72,100700,0.28600000000000003,0,6qxoAGlWUrVYbvq3x6S08C,0.0,5,0.292,-15.861,1,Chapter 2.23 - Zamek kaniowski,0,1928,0.939,114.059,0.695,1928
0.991,"['Muzio Clementi', 'Vladimir Horowitz']",0.317,214667,0.0916,0,6rIuHOee0surqjlxUWHruQ,0.918,10,0.104,-30.682,1,"Rondo, No. 2",0,1928,0.0411,80.74,0.511,1928
0.947,['John Raitt'],0.333,122733,0.146,0,6rd3MB90B6JcMzSsxTVX5P,0.000426,2,0.265,-16.99,1,Where's the Mate for Me?,2,1928,0.0353,75.372,0.234,1928
0.986,['Francisco Canaro'],0.613,303493,0.187,0,6sHTmkp6k8genhaEHK5NxF,0.804,1,0.111,-13.959,1,Pájaro Azul - Instrumental (Remasterizado),0,1928-09-21,0.255,116.325,0.3,1928
0.977,['Ted Weems & His Orchestra'],0.757,180147,0.49,0,6t2heLDAa5eqqLZM6yyDKw,0.043,10,0.0885,-9.198,1,It Was Only A Sun Shower,0,1928-07-01,0.035,105.734,0.836,1928
0.974,"['Frédéric Chopin', 'Vladimir Horowitz']",0.188,236493,0.0891,0,6tD8hbtg9YvauF84fl15sd,0.8959999999999999,0,0.124,-25.936,1,"Andante spianato in E-Flat Major, Op. 22",3,1928,0.0326,59.94600000000001,0.16399999999999998,1928
0.989,['Francisco Canaro'],0.858,168413,0.249,0,6tmVNRSYKtvrfhuuPnn7JK,8.79e-05,2,0.181,-8.897,1,Che Italiano - Instrumental (Remasterizado),0,1928-09-16,0.224,115.858,0.611,1928
0.989,['Paul Whiteman'],0.441,201053,0.0454,0,6u4X5c1kV7hZrlMOD3FAco,0.0752,7,0.0801,-21.884,1,Chiquita,0,1928,0.0463,133.475,0.194,1928
0.996,['Ignacio Corsini'],0.675,145973,0.127,0,6uORAJwv0yYp917APJP8Be,0.0311,3,0.102,-21.612,1,Destellos - Remasterizado,0,1928-05-14,0.226,129.58700000000002,0.516,1928
